F 	intervalLow_intervalHigh	<npart>		d<npart> 	TAA			dTAA 		sys.AP 		Traj. err.  Trigg. err. 	Pair. err. 	AccEff 		dAccEff
V 	00_90						124			2.0			6.22		0.21 		3	 		0.000 		0.00  			0.00 		0.1496	 	0.0082 
V 	00_10						359 		31.2		23.4 		3.51 		0.78 		0.000   	0.00  			0.00 		0.1428  	0.0059
V 	10_20						263 		27.1		14.3 		2.2 		0.46		0.000   	0.00 			0.00		0.1473		0.0037 
V 	20_30						188 		19.1		8.59 		1.52 		0.27 		0.000   	0.00 			0.00		0.1480 		0.0034 
V 	30_40						131			3.0			4.92 		1.07 		0.16 		0.000   	0.00 			0.00		0.1510 		0.0020 
V 	40_50						86.3 		16.3		2.61 		0.726 		0.1 		0.000   	0.00 			0.00		0.1522		0.0014 
V 	50_60						53.6 		1.2			1.28 		0.463 		0.063 		0.000   	0.00 			0.00		0.1528		0.0012 
V 	60_70						30.4 		0.76 		0.569 		0.273 		0.032 		0.000   	0.00 			0.00		0.1540		0.0008 
V 	70_80						15.6 		0.45		0.232 		0.15 		0.015 		0.000   	0.00 			0.00		0.1544		0.0008 
V 	80_90						7.59 		0.19		0.0923 		0.0753 		0.007 		0.000   	0.00 			0.00		0.1544		0.0008
